event_id,artifact,record_ref,timestamp,src_ip,dst_ip,event_type
artifact-pcap-20260706-000001,artifacts/pcap/edge_trace_20260706.pcap,packet:1,2026-07-02T00:00:12+08:00,10.20.20.91,10.20.40.10,dns_query
artifact-pcap-20260706-000002,artifacts/pcap/edge_trace_20260706.pcap,packet:2,2026-07-02T00:00:16+08:00,10.20.20.33,10.20.30.31,http_request
artifact-pcap-20260706-000003,artifacts/pcap/edge_trace_20260706.pcap,packet:3,2026-07-02T00:00:18+08:00,10.20.20.33,10.20.10.21,http_request
artifact-pcap-20260706-000004,artifacts/pcap/edge_trace_20260706.pcap,packet:4,2026-07-02T00:00:21+08:00,10.20.20.91,10.20.40.10,dns_query
artifact-pcap-20260706-000005,artifacts/pcap/edge_trace_20260706.pcap,packet:5,2026-07-02T00:00:36+08:00,10.20.20.87,10.20.30.31,http_request
artifact-pcap-20260706-000006,artifacts/pcap/edge_trace_20260706.pcap,packet:6,2026-07-02T00:00:41+08:00,10.20.30.31,10.20.40.10,dns_query
artifact-pcap-20260706-000007,artifacts/pcap/edge_trace_20260706.pcap,packet:7,2026-07-02T00:00:48+08:00,10.20.20.91,10.20.30.31,http_request
artifact-pcap-20260706-000008,artifacts/pcap/edge_trace_20260706.pcap,packet:8,2026-07-02T00:01:03+08:00,10.20.30.31,10.20.30.31,http_request
artifact-pcap-20260706-000009,artifacts/pcap/edge_trace_20260706.pcap,packet:9,2026-07-02T00:01:11+08:00,10.20.30.31,10.20.40.10,dns_query
artifact-pcap-20260706-000010,artifacts/pcap/edge_trace_20260706.pcap,packet:10,2026-07-02T00:01:11+08:00,10.20.20.91,10.20.60.21,http_request
artifact-pcap-20260706-000011,artifacts/pcap/edge_trace_20260706.pcap,packet:11,2026-07-02T00:01:16+08:00,10.20.20.91,10.20.40.10,dns_query
artifact-pcap-20260706-000012,artifacts/pcap/edge_trace_20260706.pcap,packet:12,2026-07-02T00:01:27+08:00,10.20.20.33,203.0.113.188,http_request
artifact-pcap-20260706-000013,artifacts/pcap/edge_trace_20260706.pcap,packet:13,2026-07-02T00:01:28+08:00,10.20.20.91,10.20.60.21,http_request
artifact-pcap-20260706-000014,artifacts/pcap/edge_trace_20260706.pcap,packet:14,2026-07-02T00:01:31+08:00,10.20.20.33,10.20.60.21,http_request
artifact-pcap-20260706-000015,artifacts/pcap/edge_trace_20260706.pcap,packet:15,2026-07-02T00:01:33+08:00,10.20.20.87,10.20.30.31,http_request
artifact-pcap-20260706-000016,artifacts/pcap/edge_trace_20260706.pcap,packet:16,2026-07-02T00:01:34+08:00,10.20.20.33,203.0.113.188,http_request
artifact-pcap-20260706-000017,artifacts/pcap/edge_trace_20260706.pcap,packet:17,2026-07-02T00:01:36+08:00,10.20.20.91,10.20.30.31,http_request
artifact-pcap-20260706-000018,artifacts/pcap/edge_trace_20260706.pcap,packet:18,2026-07-02T00:01:47+08:00,10.20.30.31,10.20.10.21,http_request
artifact-pcap-20260706-000019,artifacts/pcap/edge_trace_20260706.pcap,packet:19,2026-07-02T00:01:51+08:00,10.20.30.31,10.20.30.31,http_request
artifact-pcap-20260706-000020,artifacts/pcap/edge_trace_20260706.pcap,packet:20,2026-07-02T00:01:55+08:00,10.20.30.31,203.0.113.188,http_request
artifact-pcap-20260706-000021,artifacts/pcap/edge_trace_20260706.pcap,packet:21,2026-07-02T00:01:55+08:00,10.20.20.33,10.20.10.21,http_request
