event_id,timestamp,db_host,db_user,src_ip,database,query_type,object,rows,bytes,result,raw
mysql-20260706-025681,2026-07-02T00:00:17+08:00,mysql-core-01,report_user,10.20.10.21,crm,select,orders,2915,644215,success,select on crm.orders
mysql-20260706-011014,2026-07-02T00:00:19+08:00,mysql-core-01,crm_rw,10.20.20.33,crm,select,user_profile,4805,1624090,success,select on crm.user_profile
mysql-20260706-023538,2026-07-02T00:00:22+08:00,mysql-core-01,admin.li,10.20.20.33,crm,show,user_profile,348,8700,success,show on crm.user_profile
mysql-20260706-012304,2026-07-02T00:00:25+08:00,mysql-core-01,report_user,10.20.10.21,crm,select,report_daily,3081,1232400,success,select on crm.report_daily
mysql-20260706-027906,2026-07-02T00:00:42+08:00,mysql-core-01,crm_ro,10.20.10.21,crm,select,report_daily,2136,826632,success,select on crm.report_daily
mysql-20260706-016141,2026-07-02T00:00:43+08:00,mysql-core-01,crm_rw,10.20.20.33,crm,show,invoice,3250,1235000,success,show on crm.invoice
mysql-20260706-013943,2026-07-02T00:00:59+08:00,mysql-core-01,crm_ro,10.20.10.21,crm,select,invoice,3306,1325706,success,select on crm.invoice
mysql-20260706-029145,2026-07-02T00:01:13+08:00,mysql-core-01,report_user,10.20.30.31,crm,select,orders,4524,1257672,success,select on crm.orders
mysql-20260706-030278,2026-07-02T00:01:14+08:00,mysql-core-01,bi_sync,10.20.10.21,crm,show,orders,2015,949065,success,show on crm.orders
mysql-20260706-006498,2026-07-02T00:01:24+08:00,mysql-core-01,crm_ro,10.20.20.33,crm,select,customer,3625,1551500,success,select on crm.customer
mysql-20260706-013098,2026-07-02T00:01:40+08:00,mysql-core-01,bi_sync,10.20.30.11,crm,select,user_profile,4546,1131954,success,select on crm.user_profile
mysql-20260706-001878,2026-07-02T00:02:03+08:00,mysql-core-01,report_user,10.20.10.21,crm,show,config,1483,575404,success,show on crm.config
mysql-20260706-026857,2026-07-02T00:02:08+08:00,mysql-core-01,crm_rw,10.20.30.11,crm,select,invoice,2739,829917,success,select on crm.invoice
mysql-20260706-033266,2026-07-02T00:02:18+08:00,mysql-core-01,crm_ro,10.20.10.21,crm,insert,config,2121,492072,success,insert on crm.config
mysql-20260706-010168,2026-07-02T00:02:20+08:00,mysql-core-01,crm_ro,10.20.20.33,crm,select,orders,1858,384606,success,select on crm.orders
mysql-20260706-004601,2026-07-02T00:02:23+08:00,mysql-core-01,bi_sync,10.20.10.21,crm,insert,orders,217,33635,success,insert on crm.orders
mysql-20260706-030051,2026-07-02T00:02:29+08:00,mysql-core-01,bi_sync,10.20.10.21,crm,show,user_profile,4887,1065366,success,show on crm.user_profile
mysql-20260706-013658,2026-07-02T00:02:49+08:00,mysql-core-01,report_user,10.20.10.21,crm,select,report_daily,3516,1589232,success,select on crm.report_daily
mysql-20260706-012907,2026-07-02T00:02:54+08:00,mysql-core-01,report_user,10.20.30.11,crm,update,config,1262,615856,success,update on crm.config
mysql-20260706-022606,2026-07-02T00:03:03+08:00,mysql-core-01,report_user,10.20.30.11,crm,select,config,3407,1447975,success,select on crm.config
mysql-20260706-009566,2026-07-02T00:03:37+08:00,mysql-core-01,report_user,10.20.30.31,crm,select,report_daily,3596,496248,success,select on crm.report_daily
mysql-20260706-000869,2026-07-02T00:03:56+08:00,mysql-core-01,admin.li,10.20.20.33,crm,select,orders,4773,1866243,success,select on crm.orders
mysql-20260706-013349,2026-07-02T00:03:57+08:00,mysql-core-01,crm_ro,10.20.20.33,crm,select,report_daily,2522,988624,success,select on crm.report_daily
mysql-20260706-003592,2026-07-02T00:04:00+08:00,mysql-core-01,report_user,10.20.30.31,crm,select,report_daily,3031,1266958,success,select on crm.report_daily
