event_id,timestamp,db_host,db_user,src_ip,database,query_type,object,rows,bytes,result,raw
pgsql-20260706-013743,2026-07-02T00:00:06+08:00,pgsql-bi-01,crm_ro,10.20.10.21,bi,insert,orders,771,46260,success,insert on bi.orders
pgsql-20260706-007068,2026-07-02T00:00:13+08:00,pgsql-bi-01,report_user,10.20.30.11,bi,show,config,540,232740,success,show on bi.config
pgsql-20260706-002521,2026-07-02T00:00:32+08:00,pgsql-bi-01,report_user,10.20.20.33,bi,show,report_daily,2347,873084,success,show on bi.report_daily
pgsql-20260706-018495,2026-07-02T00:00:46+08:00,pgsql-bi-01,crm_ro,10.20.30.11,bi,select,invoice,2178,326700,success,select on bi.invoice
pgsql-20260706-019860,2026-07-02T00:01:12+08:00,pgsql-bi-01,admin.li,10.20.30.11,bi,show,user_profile,4899,2258439,success,show on bi.user_profile
pgsql-20260706-009933,2026-07-02T00:01:14+08:00,pgsql-bi-01,bi_sync,10.20.10.21,bi,select,customer,2367,409491,success,select on bi.customer
pgsql-20260706-008359,2026-07-02T00:01:16+08:00,pgsql-bi-01,crm_ro,10.20.30.11,bi,insert,invoice,4998,1919232,success,insert on bi.invoice
pgsql-20260706-006618,2026-07-02T00:02:05+08:00,pgsql-bi-01,crm_rw,10.20.30.11,bi,update,config,3265,316705,success,update on bi.config
pgsql-20260706-009974,2026-07-02T00:02:28+08:00,pgsql-bi-01,bi_sync,10.20.20.33,bi,update,report_daily,3244,1141888,success,update on bi.report_daily
pgsql-20260706-023107,2026-07-02T00:03:31+08:00,pgsql-bi-01,crm_rw,10.20.10.21,bi,show,customer,958,460798,success,show on bi.customer
pgsql-20260706-003191,2026-07-02T00:03:44+08:00,pgsql-bi-01,bi_sync,10.20.20.33,bi,select,user_profile,2816,360448,success,select on bi.user_profile
pgsql-20260706-000087,2026-07-02T00:04:31+08:00,pgsql-bi-01,admin.li,10.20.20.33,bi,select,report_daily,463,225018,success,select on bi.report_daily
pgsql-20260706-019182,2026-07-02T00:04:42+08:00,pgsql-bi-01,crm_rw,10.20.30.11,bi,insert,config,2659,385555,success,insert on bi.config
pgsql-20260706-018783,2026-07-02T00:04:45+08:00,pgsql-bi-01,bi_sync,10.20.20.33,bi,insert,orders,4366,467162,success,insert on bi.orders
pgsql-20260706-014701,2026-07-02T00:05:15+08:00,pgsql-bi-01,report_user,10.20.20.33,bi,show,invoice,2680,932640,success,show on bi.invoice
pgsql-20260706-009110,2026-07-02T00:05:19+08:00,pgsql-bi-01,crm_ro,10.20.30.31,bi,show,customer,4053,1394232,success,show on bi.customer
pgsql-20260706-022275,2026-07-02T00:05:37+08:00,pgsql-bi-01,bi_sync,10.20.30.31,bi,update,orders,4673,457954,success,update on bi.orders
pgsql-20260706-011211,2026-07-02T00:05:43+08:00,pgsql-bi-01,crm_rw,10.20.10.21,bi,show,config,4600,1150000,success,show on bi.config
pgsql-20260706-021973,2026-07-02T00:05:44+08:00,pgsql-bi-01,admin.li,10.20.30.31,bi,show,orders,2926,719796,success,show on bi.orders
pgsql-20260706-001608,2026-07-02T00:05:58+08:00,pgsql-bi-01,crm_rw,10.20.30.11,bi,select,orders,4406,643276,success,select on bi.orders
pgsql-20260706-012434,2026-07-02T00:06:17+08:00,pgsql-bi-01,bi_sync,10.20.20.33,bi,select,invoice,220,82060,success,select on bi.invoice
pgsql-20260706-021558,2026-07-02T00:06:21+08:00,pgsql-bi-01,bi_sync,10.20.10.21,bi,update,customer,4395,232935,success,update on bi.customer
pgsql-20260706-017150,2026-07-02T00:06:42+08:00,pgsql-bi-01,crm_rw,10.20.10.21,bi,select,customer,546,255528,success,select on bi.customer
pgsql-20260706-018695,2026-07-02T00:06:59+08:00,pgsql-bi-01,report_user,10.20.20.33,bi,select,report_daily,3014,1365342,success,select on bi.report_daily
pgsql-20260706-025617,2026-07-02T00:07:19+08:00,pgsql-bi-01,admin.li,10.20.20.33,bi,select,orders,3580,741060,success,select on bi.orders
