event_id,timestamp,gateway,user,src_ip,assigned_ip,action,result,mfa,geo,device_id,raw
vpn-20260706-013076,2026-07-02T00:00:00+08:00,vpn-gw-01,liu.qiang,192.0.2.22,,reauth,failed,failed,CN-Shanghai,dev-6439,vpn user=liu.qiang result=failed
vpn-20260706-004891,2026-07-02T00:00:24+08:00,vpn-gw-01,liu.qiang,203.0.113.177,10.20.25.72,reauth,success,passed,SG-Singapore,dev-1385,vpn user=liu.qiang result=success
vpn-20260706-003872,2026-07-02T00:00:36+08:00,vpn-gw-01,chen.yu,203.0.113.98,10.20.25.194,login,success,passed,CN-Shenzhen,dev-5604,vpn user=chen.yu result=success
vpn-20260706-007783,2026-07-02T00:00:44+08:00,vpn-gw-01,wang.mei,203.0.113.97,10.20.25.53,logout,success,passed,CN-Shenzhen,dev-1505,vpn user=wang.mei result=success
vpn-20260706-011039,2026-07-02T00:00:52+08:00,vpn-gw-01,svc_backup,198.51.100.50,10.20.25.89,login,success,passed,CN-Hangzhou,dev-3125,vpn user=svc_backup result=success
vpn-20260706-000497,2026-07-02T00:00:55+08:00,vpn-gw-01,liu.qiang,192.0.2.91,10.20.25.166,logout,success,passed,CN-Shanghai,dev-9254,vpn user=liu.qiang result=success
vpn-20260706-007738,2026-07-02T00:01:01+08:00,vpn-gw-01,zhang.wei,198.51.100.145,10.20.25.181,reauth,success,passed,SG-Singapore,dev-9930,vpn user=zhang.wei result=success
vpn-20260706-010426,2026-07-02T00:01:06+08:00,vpn-gw-01,zhang.wei,192.0.2.79,10.20.25.132,login,success,passed,CN-Hangzhou,dev-4701,vpn user=zhang.wei result=success
vpn-20260706-015390,2026-07-02T00:01:09+08:00,vpn-gw-01,admin.li,203.0.113.236,10.20.25.224,login,success,passed,JP-Tokyo,dev-2159,vpn user=admin.li result=success
vpn-20260706-012411,2026-07-02T00:01:26+08:00,vpn-gw-01,chen.yu,198.51.100.126,10.20.25.125,logout,success,passed,JP-Tokyo,dev-7164,vpn user=chen.yu result=success
