event_id,timestamp,scanner,target_ip,plugin_id,severity,title,result,raw
vuln-20260706-009224,2026-07-02T00:15:00+08:00,10.20.90.21,10.20.10.21,11808,medium,TLS weak cipher,detected,scheduled vulnerability scan
vuln-20260706-001876,2026-07-02T00:15:01+08:00,10.20.90.21,10.20.10.21,46321,medium,Missing security header,detected,scheduled vulnerability scan
vuln-20260706-002096,2026-07-02T00:15:01+08:00,10.20.90.21,10.20.10.22,62496,low,OpenSSH banner,detected,scheduled vulnerability scan
vuln-20260706-003694,2026-07-02T00:15:01+08:00,10.20.90.21,10.20.30.21,45026,low,TLS weak cipher,detected,scheduled vulnerability scan
vuln-20260706-009192,2026-07-02T00:15:01+08:00,10.20.90.21,10.20.10.22,23770,info,Nginx default page,detected,scheduled vulnerability scan
vuln-20260706-011465,2026-07-02T00:15:01+08:00,10.20.90.21,10.20.60.21,49344,medium,OpenSSH banner,detected,scheduled vulnerability scan
vuln-20260706-000291,2026-07-02T00:15:03+08:00,10.20.90.21,10.20.30.21,22758,medium,Nginx default page,detected,scheduled vulnerability scan
vuln-20260706-002217,2026-07-02T00:15:03+08:00,10.20.90.21,10.20.10.21,96533,info,Nginx default page,detected,scheduled vulnerability scan
vuln-20260706-012303,2026-07-02T00:15:03+08:00,10.20.90.21,10.20.10.21,75653,medium,Missing security header,detected,scheduled vulnerability scan
vuln-20260706-015608,2026-07-02T00:15:03+08:00,10.20.90.21,10.20.10.22,49185,low,OpenSSH banner,detected,scheduled vulnerability scan
vuln-20260706-003668,2026-07-02T00:15:04+08:00,10.20.90.21,10.20.60.21,24680,info,Apache version disclosure,detected,scheduled vulnerability scan
vuln-20260706-005896,2026-07-02T00:15:04+08:00,10.20.90.21,10.20.60.21,80745,info,TLS weak cipher,detected,scheduled vulnerability scan
vuln-20260706-013142,2026-07-02T00:15:04+08:00,10.20.90.21,10.20.10.22,15535,info,OpenSSH banner,detected,scheduled vulnerability scan
vuln-20260706-013674,2026-07-02T00:15:04+08:00,10.20.90.21,10.20.30.21,41137,info,Nginx default page,detected,scheduled vulnerability scan
vuln-20260706-014687,2026-07-02T00:15:04+08:00,10.20.90.21,10.20.30.21,22250,medium,Apache version disclosure,detected,scheduled vulnerability scan
vuln-20260706-004862,2026-07-02T00:15:05+08:00,10.20.90.21,10.20.60.21,64157,low,TLS weak cipher,detected,scheduled vulnerability scan
vuln-20260706-007498,2026-07-02T00:15:05+08:00,10.20.90.21,10.20.60.21,42669,info,Apache version disclosure,detected,scheduled vulnerability scan
vuln-20260706-009998,2026-07-02T00:15:05+08:00,10.20.90.21,10.20.10.22,55257,medium,Missing security header,detected,scheduled vulnerability scan
vuln-20260706-001367,2026-07-02T00:15:06+08:00,10.20.90.21,10.20.10.21,77649,info,OpenSSH banner,detected,scheduled vulnerability scan
vuln-20260706-003593,2026-07-02T00:15:06+08:00,10.20.90.21,10.20.60.21,99557,medium,Missing security header,detected,scheduled vulnerability scan
vuln-20260706-007534,2026-07-02T00:15:06+08:00,10.20.90.21,10.20.30.21,49916,medium,Apache version disclosure,detected,scheduled vulnerability scan
vuln-20260706-007703,2026-07-02T00:15:06+08:00,10.20.90.21,10.20.60.21,99265,low,TLS weak cipher,detected,scheduled vulnerability scan
vuln-20260706-009090,2026-07-02T00:15:06+08:00,10.20.90.21,10.20.10.22,16972,medium,TLS weak cipher,detected,scheduled vulnerability scan
vuln-20260706-009684,2026-07-02T00:15:06+08:00,10.20.90.21,10.20.30.21,97981,medium,Missing security header,detected,scheduled vulnerability scan
vuln-20260706-014910,2026-07-02T00:15:06+08:00,10.20.90.21,10.20.60.21,41248,medium,Missing security header,detected,scheduled vulnerability scan
vuln-20260706-000263,2026-07-02T00:15:07+08:00,10.20.90.21,10.20.10.21,98714,medium,Nginx default page,detected,scheduled vulnerability scan
vuln-20260706-004284,2026-07-02T00:15:07+08:00,10.20.90.21,10.20.60.21,79469,medium,Missing security header,detected,scheduled vulnerability scan
vuln-20260706-007390,2026-07-02T00:15:07+08:00,10.20.90.21,10.20.60.21,65121,medium,Nginx default page,detected,scheduled vulnerability scan
vuln-20260706-013170,2026-07-02T00:15:07+08:00,10.20.90.21,10.20.60.21,50931,medium,OpenSSH banner,detected,scheduled vulnerability scan
vuln-20260706-014839,2026-07-02T00:15:07+08:00,10.20.90.21,10.20.60.21,37187,info,OpenSSH banner,detected,scheduled vulnerability scan
vuln-20260706-002085,2026-07-02T00:15:08+08:00,10.20.90.21,10.20.60.21,59584,info,OpenSSH banner,detected,scheduled vulnerability scan
vuln-20260706-003669,2026-07-02T00:15:08+08:00,10.20.90.21,10.20.10.22,15475,info,Missing security header,detected,scheduled vulnerability scan
vuln-20260706-004931,2026-07-02T00:15:08+08:00,10.20.90.21,10.20.30.21,37522,low,Nginx default page,detected,scheduled vulnerability scan
