step,stage,time_start,time_end,evidence_ids
1,recon,2026-07-06T09:05:00+08:00,2026-07-06T09:05:49+08:00,E001;E006
2,initial_access,2026-07-06T09:14:22+08:00,2026-07-06T09:14:24+08:00,E011;E013;E014
3,execution,2026-07-06T09:16:10+08:00,2026-07-06T09:16:30+08:00,E015;E016;E019
4,persistence,2026-07-06T09:20:05+08:00,2026-07-06T09:20:17+08:00,E020;E021;E022
5,discovery,2026-07-06T09:24:00+08:00,2026-07-06T09:24:44+08:00,E023;E025
6,credential_access,2026-07-06T09:31:00+08:00,2026-07-06T09:31:48+08:00,E028;E029;E030
7,lateral_movement,2026-07-06T09:39:15+08:00,2026-07-06T09:39:19+08:00,E031;E032;E033
8,discovery,2026-07-06T09:45:00+08:00,2026-07-06T09:45:32+08:00,E034;E036
9,credential_use,2026-07-06T09:51:00+08:00,2026-07-06T09:51:01+08:00,E038;E037
10,discovery,2026-07-06T09:55:00+08:00,2026-07-06T09:55:45+08:00,E039;E040
11,discovery,2026-07-06T09:55:15+08:00,2026-07-06T09:55:30+08:00,E041;E042
12,credential_access,2026-07-06T10:02:00+08:00,2026-07-06T10:03:05+08:00,E043;E045;E046
13,credential_use,2026-07-06T10:05:00+08:00,2026-07-06T10:05:18+08:00,E048;E049
14,credential_use,2026-07-06T10:08:06+08:00,2026-07-06T10:08:11+08:00,E053;E054;E056
15,discovery,2026-07-06T10:10:00+08:00,2026-07-06T10:13:40+08:00,E050;E052;E065
16,credential_use,2026-07-06T10:12:00+08:00,2026-07-06T10:12:01+08:00,E060;E064
17,collection,2026-07-06T10:18:00+08:00,2026-07-06T10:19:20+08:00,E061;E062;E063
18,execution,2026-07-06T10:18:00+08:00,2026-07-06T10:24:05+08:00,E058;E059;E074
19,lateral_movement,2026-07-06T10:22:00+08:00,2026-07-06T10:22:00+08:00,E068;E069
20,credential_access,2026-07-06T10:27:00+08:00,2026-07-06T10:27:02+08:00,E071;E072;E073
21,discovery,2026-07-06T10:28:00+08:00,2026-07-06T10:34:24+08:00,E076;E077;E078;E079;E080
22,collection,2026-07-06T10:41:00+08:00,2026-07-06T10:49:30+08:00,E081;E082;E083;E084;E085
23,credential_use,2026-07-06T10:42:00+08:00,2026-07-06T10:42:00+08:00,E086
24,collection,2026-07-06T10:42:09+08:00,2026-07-06T11:15:00+08:00,E087;E088
25,exfiltration,2026-07-06T11:08:00+08:00,2026-07-06T11:08:01+08:00,E089;E090
26,collection,2026-07-06T11:35:00+08:00,2026-07-06T11:35:50+08:00,E091;E092;E093
27,defense_evasion,2026-07-06T11:42:00+08:00,2026-07-06T11:42:22+08:00,E094;E096
28,exfiltration,2026-07-06T11:50:00+08:00,2026-07-06T11:50:18+08:00,E097;E098;E101
